api-gateway-1  | 
api-gateway-1  |   .   ____          _            __ _ _
api-gateway-1  |  /\\ / ___'_ __ _ _(_)_ __  __ _ \ \ \ \
api-gateway-1  | ( ( )\___ | '_ | '_| | '_ \/ _` | \ \ \ \
api-gateway-1  |  \\/  ___)| |_)| | | | | || (_| |  ) ) ) )
api-gateway-1  |   '  |____| .__|_| |_|_| |_\__, | / / / /
api-gateway-1  |  =========|_|==============|___/=/_/_/_/
api-gateway-1  | 
api-gateway-1  |  :: Spring Boot ::                (v3.4.4)
api-gateway-1  | 
api-gateway-1  | 2025-04-16T06:27:39.902Z  INFO 1 --- [api-gateway] [           main] com.example.ApiGatewayApplication        : Starting ApiGatewayApplication v0.0.1-SNAPSHOT using Java 21 with PID 1 (/app/app.jar started by root in /app)
api-gateway-1  | 2025-04-16T06:27:39.904Z  INFO 1 --- [api-gateway] [           main] com.example.ApiGatewayApplication        : No active profile set, falling back to 1 default profile: "default"
api-gateway-1  | 2025-04-16T06:27:40.805Z  INFO 1 --- [api-gateway] [           main] o.s.cloud.context.scope.GenericScope     : BeanFactory id=bcee66bf-6b90-3100-8724-107c31461fe7
api-gateway-1  | 2025-04-16T06:27:41.666Z  INFO 1 --- [api-gateway] [           main] o.s.c.g.r.RouteDefinitionRouteLocator    : Loaded RoutePredicateFactory [After]
api-gateway-1  | 2025-04-16T06:27:41.666Z  INFO 1 --- [api-gateway] [           main] o.s.c.g.r.RouteDefinitionRouteLocator    : Loaded RoutePredicateFactory [Before]
api-gateway-1  | 2025-04-16T06:27:41.667Z  INFO 1 --- [api-gateway] [           main] o.s.c.g.r.RouteDefinitionRouteLocator    : Loaded RoutePredicateFactory [Between]
api-gateway-1  | 2025-04-16T06:27:41.667Z  INFO 1 --- [api-gateway] [           main] o.s.c.g.r.RouteDefinitionRouteLocator    : Loaded RoutePredicateFactory [Cookie]
api-gateway-1  | 2025-04-16T06:27:41.667Z  INFO 1 --- [api-gateway] [           main] o.s.c.g.r.RouteDefinitionRouteLocator    : Loaded RoutePredicateFactory [Header]
api-gateway-1  | 2025-04-16T06:27:41.667Z  INFO 1 --- [api-gateway] [           main] o.s.c.g.r.RouteDefinitionRouteLocator    : Loaded RoutePredicateFactory [Host]
api-gateway-1  | 2025-04-16T06:27:41.667Z  INFO 1 --- [api-gateway] [           main] o.s.c.g.r.RouteDefinitionRouteLocator    : Loaded RoutePredicateFactory [Method]
api-gateway-1  | 2025-04-16T06:27:41.667Z  INFO 1 --- [api-gateway] [           main] o.s.c.g.r.RouteDefinitionRouteLocator    : Loaded RoutePredicateFactory [Path]
api-gateway-1  | 2025-04-16T06:27:41.667Z  INFO 1 --- [api-gateway] [           main] o.s.c.g.r.RouteDefinitionRouteLocator    : Loaded RoutePredicateFactory [Query]
api-gateway-1  | 2025-04-16T06:27:41.667Z  INFO 1 --- [api-gateway] [           main] o.s.c.g.r.RouteDefinitionRouteLocator    : Loaded RoutePredicateFactory [ReadBody]
api-gateway-1  | 2025-04-16T06:27:41.667Z  INFO 1 --- [api-gateway] [           main] o.s.c.g.r.RouteDefinitionRouteLocator    : Loaded RoutePredicateFactory [RemoteAddr]
api-gateway-1  | 2025-04-16T06:27:41.667Z  INFO 1 --- [api-gateway] [           main] o.s.c.g.r.RouteDefinitionRouteLocator    : Loaded RoutePredicateFactory [XForwardedRemoteAddr]
api-gateway-1  | 2025-04-16T06:27:41.667Z  INFO 1 --- [api-gateway] [           main] o.s.c.g.r.RouteDefinitionRouteLocator    : Loaded RoutePredicateFactory [Weight]
api-gateway-1  | 2025-04-16T06:27:41.667Z  INFO 1 --- [api-gateway] [           main] o.s.c.g.r.RouteDefinitionRouteLocator    : Loaded RoutePredicateFactory [CloudFoundryRouteService]
api-gateway-1  | 2025-04-16T06:27:41.895Z  INFO 1 --- [api-gateway] [           main] o.s.b.a.e.web.EndpointLinksResolver      : Exposing 17 endpoints beneath base path '/actuator'
api-gateway-1  | 2025-04-16T06:27:42.132Z  INFO 1 --- [api-gateway] [           main] DiscoveryClientOptionalArgsConfiguration : Eureka HTTP Client uses RestTemplate.
api-gateway-1  | 2025-04-16T06:27:42.155Z  WARN 1 --- [api-gateway] [           main] iguration$LoadBalancerCaffeineWarnLogger : Spring Cloud LoadBalancer is currently working with the default cache. While this cache implementation is useful for development and tests, it's recommended to use Caffeine cache in production.You can switch to using Caffeine cache, by adding it and org.springframework.cache.caffeine.CaffeineCacheManager to the classpath.
api-gateway-1  | 2025-04-16T06:27:42.197Z  INFO 1 --- [api-gateway] [           main] o.s.c.n.eureka.InstanceInfoFactory       : Setting initial instance status as: STARTING
api-gateway-1  | 2025-04-16T06:27:42.213Z  INFO 1 --- [api-gateway] [           main] com.netflix.discovery.DiscoveryClient    : Initializing Eureka in region us-east-1
api-gateway-1  | 2025-04-16T06:27:42.216Z  INFO 1 --- [api-gateway] [           main] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
api-gateway-1  | 2025-04-16T06:27:42.223Z  INFO 1 --- [api-gateway] [           main] com.netflix.discovery.DiscoveryClient    : Disable delta property : false
api-gateway-1  | 2025-04-16T06:27:42.223Z  INFO 1 --- [api-gateway] [           main] com.netflix.discovery.DiscoveryClient    : Single vip registry refresh property : null
api-gateway-1  | 2025-04-16T06:27:42.223Z  INFO 1 --- [api-gateway] [           main] com.netflix.discovery.DiscoveryClient    : Force full registry fetch : false
api-gateway-1  | 2025-04-16T06:27:42.223Z  INFO 1 --- [api-gateway] [           main] com.netflix.discovery.DiscoveryClient    : Application is null : false
api-gateway-1  | 2025-04-16T06:27:42.223Z  INFO 1 --- [api-gateway] [           main] com.netflix.discovery.DiscoveryClient    : Registered Applications size is zero : true
api-gateway-1  | 2025-04-16T06:27:42.223Z  INFO 1 --- [api-gateway] [           main] com.netflix.discovery.DiscoveryClient    : Application version is -1: true
api-gateway-1  | 2025-04-16T06:27:42.223Z  INFO 1 --- [api-gateway] [           main] com.netflix.discovery.DiscoveryClient    : Getting all instance registry info from the eureka server
api-gateway-1  | 2025-04-16T06:27:42.678Z  INFO 1 --- [api-gateway] [           main] com.netflix.discovery.DiscoveryClient    : The response status is 200
api-gateway-1  | 2025-04-16T06:27:42.682Z  INFO 1 --- [api-gateway] [           main] com.netflix.discovery.DiscoveryClient    : Starting heartbeat executor: renew interval is: 30
api-gateway-1  | 2025-04-16T06:27:42.684Z  INFO 1 --- [api-gateway] [           main] c.n.discovery.InstanceInfoReplicator     : InstanceInfoReplicator onDemand update allowed rate per min is 4
api-gateway-1  | 2025-04-16T06:27:42.686Z  INFO 1 --- [api-gateway] [           main] com.netflix.discovery.DiscoveryClient    : Discovery Client initialized at timestamp 1744784862685 with initial instances count: 5
api-gateway-1  | 2025-04-16T06:27:42.689Z  INFO 1 --- [api-gateway] [           main] o.s.c.n.e.s.EurekaServiceRegistry        : Registering application API-GATEWAY with eureka with status UP
api-gateway-1  | 2025-04-16T06:27:42.689Z  INFO 1 --- [api-gateway] [           main] com.netflix.discovery.DiscoveryClient    : Saw local status change event StatusChangeEvent [timestamp=1744784862689, current=UP, previous=STARTING]
api-gateway-1  | 2025-04-16T06:27:42.690Z  INFO 1 --- [api-gateway] [foReplicator-%d] com.netflix.discovery.DiscoveryClient    : DiscoveryClient_API-GATEWAY/1741261beed9:api-gateway:3001: registering service...
api-gateway-1  | 2025-04-16T06:27:42.733Z  INFO 1 --- [api-gateway] [foReplicator-%d] com.netflix.discovery.DiscoveryClient    : DiscoveryClient_API-GATEWAY/1741261beed9:api-gateway:3001 - registration status: 204
api-gateway-1  | 2025-04-16T06:27:42.813Z  INFO 1 --- [api-gateway] [           main] o.s.b.web.embedded.netty.NettyWebServer  : Netty started on port 3001 (http)
api-gateway-1  | 2025-04-16T06:27:42.814Z  INFO 1 --- [api-gateway] [           main] .s.c.n.e.s.EurekaAutoServiceRegistration : Updating port to 3001
api-gateway-1  | 2025-04-16T06:27:42.841Z  INFO 1 --- [api-gateway] [           main] com.example.ApiGatewayApplication        : Started ApiGatewayApplication in 3.289 seconds (process running for 3.901)
